round home_team away_team home_score away_score
1 2 20 132 109
1 14 18 110 103
1 9 12 109 115
1 1 3 120 116
1 16 22 97 116
1 23 17 109 124
1 28 6 106 136
1 11 4 105 110
1 19 5 123 111
1 29 15 124 126
1 13 24 113 116
1 25 10 104 140
1 30 2 102 122
1 7 27 120 109
1 8 21 87 102
1 26 18 115 117
1 22 3 116 101
1 28 23 115 107
1 1 4 125 120
1 6 9 113 101
1 20 12 123 98
1 11 15 128 108
1 17 5 122 133
1 29 10 86 127
1 14 24 123 116
1 25 19 103 105
1 8 13 104 109
1 4 16 106 114
1 9 2 118 124
1 30 6 116 135
1 5 21 95 114
1 15 22 124 111
1 18 28 112 101
1 27 11 109 106
1 24 7 114 102
1 14 26 131 127
1 12 23 114 118
1 3 17 115 102
1 25 19 125 103
1 21 1 128 104
1 10 13 104 112
1 22 12 119 115
1 1 30 119 121
1 2 17 119 108
1 16 9 106 98
1 20 6 104 110
1 28 8 125 127
1 15 5 123 126
1 27 11 101 106
1 7 29 110 102
1 24 14 109 105
1 26 25 111 98
1 3 8 139 144
1 18 7 114 120
1 29 26 96 113
1 10 19 124 106
1 4 28 138 133
1 6 14 134 110
1 12 2 135 132
1 23 9 95 105
1 30 1 133 120
1 16 20 107 116
1 5 22 102 99
1 15 3 106 119
1 21 27 105 93
1 10 19 104 89
1 13 25 105 106
1 15 17 122 99
1 7 11 102 108
1 29 27 88 106
1 13 24 119 125
1 4 2 109 124
1 6 22 120 109
1 9 20 98 128
1 1 26 115 123
1 3 5 120 112
1 28 14 125 131
1 19 12 125 118
1 18 8 119 116
1 25 21 114 137
1 4 2 103 113
1 23 15 104 124
1 28 26 131 128
1 11 10 121 127
1 17 6 113 114
1 27 18 113 103
1 30 16 98 118
1 8 29 129 103
1 24 25 103 97
1 13 21 92 105
1 3 9 92 106
1 19 1 111 126
1 7 22 108 85
1 6 17 116 114
1 30 10 112 125
1 9 14 115 103
1 1 2 93 123
1 3 15 106 104
1 16 26 110 111
1 5 29 126 135
1 11 20 109 97
1 18 4 114 93
1 21 22 102 86
1 19 25 100 118
1 7 12 127 134
1 8 28 121 119
1 24 23 118 116
1 13 27 113 104
1 4 9 108 107
1 12 22 118 111
1 1 20 121 116
1 2 10 112 118
1 11 27 127 100
1 15 14 131 114
1 19 6 122 131
1 7 5 119 99
1 8 21 124 122
1 24 16 115 112
1 13 23 110 98
1 26 28 122 107
1 5 18 119 135
1 17 29 123 100
1 27 25 118 105
1 4 12 103 83
1 9 1 122 121
1 22 19 115 88
1 2 3 108 104
1 6 10 136 117
1 20 17 116 94
1 7 24 113 114
1 15 30 128 104
1 21 11 126 107
1 18 25 127 102
1 8 16 135 122
1 14 23 116 106
1 26 13 98 107
1 27 29 110 111
1 1 5 113 125
1 6 3 105 100
1 13 28 105 103
1 9 11 99 101
1 17 2 107 113
1 12 20 132 121
1 22 30 121 94
1 23 4 107 105
1 18 16 94 95
1 21 10 116 127
1 8 7 122 120
1 24 26 118 127
1 25 15 89 134
1 14 28 123 103
1 5 6 113 119
1 11 30 107 92
1 19 3 105 107
1 21 13 134 128
1 27 26 116 96
1 2 1 116 117
1 9 16 123 121
1 22 4 114 89
1 23 20 99 111
1 17 28 99 85
1 29 24 112 120
1 10 7 120 117
1 25 18 122 108
1 22 12 94 90
1 3 2 114 139
1 20 5 123 124
1 23 6 106 114
1 21 19 106 88
1 11 13 111 103
1 17 9 127 120
1 27 30 139 130
1 14 15 128 123
1 25 18 106 98
1 26 24 127 104
1 29 7 115 113
1 12 16 111 124
1 22 23 98 86
1 28 9 95 99
1 1 30 129 117
1 6 5 144 126
1 20 3 124 122
1 27 14 115 120
1 11 13 125 104
1 19 8 101 94
1 21 24 99 83
1 10 15 123 118
1 26 18 126 130
1 4 17 115 114
1 2 28 126 123
1 19 14 99 104
1 7 27 110 93
1 26 29 121 117
1 18 24 120 117
1 12 16 119 110
1 6 4 128 114
1 30 9 104 124
1 15 8 105 90
1 25 1 114 110
1 20 3 114 104
1 5 11 107 143
1 21 7 119 121
1 13 29 116 105
1 9 5 112 122
1 16 23 106 89
1 20 30 134 106
1 28 12 130 119
1 17 11 101 100
1 24 22 99 109
1 26 1 108 109
1 13 10 102 99
1 2 6 120 117
1 3 4 116 115
1 15 8 110 122
1 7 19 132 91
1 27 21 110 104
1 14 29 124 118
1 6 19 128 100
1 17 5 122 106
1 11 12 130 113
1 15 23 117 111
1 21 25 109 99
1 24 20 122 138
1 10 1 120 97
1 13 22 104 93
1 4 9 123 121
1 28 18 110 105
1 27 29 126 118
1 14 22 118 119
1 23 3 113 98
1 30 2 96 108
1 19 10 108 112
1 17 12 129 117
1 5 1 136 122
